svenska,espanol,conjugacion
vara, ser/estar, är var varit
ha, tener, ha hade haft
kunna, poder, kan kunde kunat
säga, decir, säger sade sagt
komma, venir, kommer kom kommit
få, recibir, får fick fått
finnas, existir,finner fann funnit
bli, convertirse, blir blev blivit
vilja, querer, vill ville vilja
gå, ir/caminar, går gick gått
skola, deber, ska skulle skola
ta, tomar, tar tog tagit
göra, hacer, gör gjorde gjort
se, ver, ser såg sett
gälla, aplicar, gäller gällde gällt
stå, estar/quedarse, står stod stått
tro, creer, tror trodde trott
ge, dar, ger gav gett
tycka, pensar/opinar, tycker tyckte tyckt
ligga, estar/acostarse, ligger låg legat
veta, saber/conocer, vet visste vetat
visa, mostrar, visar visade visat
laga, arreglar / cocinar,lagar lagade lagat
titta, mirar,tittar tittade tittat
tala, hablar,talar talade talat
öppna, abrir,öppnar öppnade öppnat
arbeta, trabajar ,arbetar arbetade arbetat
spela, jugar / tocar (un instrumento),spelar spelade spelat
studera, estudiar,studerar studerade studerat
tvätta, lavar,tvättar tvättade tvättat
lyssna, escuchar,lyssnar lyssnade lyssnat
träffa, encontrar / reunirse,träffar träffade träffat
packa, mpacar,packar packade packat
bada, bañarse / nadar,badar badade badat
betala, pagar,betalar betalade betalat
stanna, quedarse / detenerse,stannar stannade stannat
regna, llover,regnar regnade regnat
låna, pedir prestado / prestar,lånar lånade lånat
skicka, enviar,skickar skickade skickat
hämta, recoger / buscar,hämtar hämtade hämtat
vänta, esperar,väntar väntade väntat
hitta, encontrar,hittar hittade hittat
jobba, trabajar,jobbar jobbade jobbat
handla, comprar / hacer la compra,handlar handlade handlat
kasta, lanzar / tirar,kastar kastade kastat
hoppa, saltar,hoppar hoppade hoppat
rita, dibujar,ritar ritade ritat
fixa, arreglar / solucionar,fixar fixade fixat
lämna, dejar / abandonar,lämnar lämnade lämnat
träna, entrenar / practicar,tränar tränade tränat
ringa,llamar (por teléfono),ringer ringde ringt
stänga,cerrar,stänger stängde stängt
skölja,enjuagar,sköljer sköljde sköljt
bygga,construir,bygger byggde byggt
ställa,colocar / poner,ställer ställde ställt
drömma,soñar,drömmer drömde drömt
rymma,escapar,rymmer rymde rymt
beställa,pedir / ordenar,beställer beställde beställt
fylla,llenar,fyller fyllde fyllt
höra,oír,hör hörde hört
köra,conducir,kör körde kört
lära,aprender / enseñar,lär lärde lärt
röra,mover / tocar,rör rörde rört
hyra,alquilar,hyr hyrde hyrt
läsa,leer,läser läste läst
röka,fumar,röker rökte rökt
åka,ir / viajar (en vehículo),åker åkte åkt
möta,encontrarse con / recibir,möter mötte mött
tänka,pensar,tänker tänkte tänkt
leka,jugar,leker lekte lekt
steka,freír,steker stekte stekt
blåsa,soplar,blåser blåste blåst
byta,cambiar,byter bytte bytt
väcka,despertar (a alguien),väcker väckte väckt
hjälpa,ayudar,hjälper hjälpte hjälpt
sköta,cuidar / manejar,sköter skötte skött
bo,vivir (residir),bor bodde bott
må,sentirse / estar (en cuanto a salud o ánimo),mår mådde mått
klä,vestir,klär klädde klätt
ro,remar,ror rodde rott
fly,huir,flyr flydde flytt
sy,coser,syr sydde sytt
